,Insurance,Policy Holders,Premium Amounts,Claim Amounts,Premium Type,Insurance Year,Casualty Year,Casualty Month,Total Vehicles Crashed,Sex,Age
0,The New India Assurance,4582,41970.0,63849.0,Commercial Insurance Premium,2015,2016,November,2,Female,72
3,HDFC ERGO General Insurance,2346,47539.0,23521.0,Commercial Insurance Premium,2015,2016,June,10,Female,48
4,HDFC ERGO General Insurance,2122,35455.0,73845.0,Commercial Insurance Premium,2018,2019,May,1,Male,78
5,HDFC ERGO General Insurance,2766,36284.0,30076.0,Personal Insurance Premium,2015,2016,July,3,Female,42
6,The New India Assurance,4089,23059.0,79203.0,Commercial Insurance Premium,2015,2016,April,7,Female,59
7,HDFC ERGO General Insurance,4667,41283.0,40568.0,Personal Insurance Premium,2017,2018,May,6,Female,21
8,HDFC ERGO General Insurance,3154,35168.0,95464.0,Personal Insurance Premium,2014,2015,January,9,Female,79
10,The Oriental Insurance Company,2593,39164.0,87736.0,Commercial Insurance Premium,2017,2018,February,8,Female,62
11,The New India Assurance,4286,26217.0,83939.0,Personal Insurance Premium,2017,2018,January,8,Female,47
12,The New India Assurance,2761,28160.0,90340.0,Personal Insurance Premium,2015,2016,November,1,Female,59
15,The New India Assurance,3686,35115.0,32820.0,Commercial Insurance Premium,2016,2017,January,5,Male,56
16,The New India Assurance,1047,26910.0,61456.0,Commercial Insurance Premium,2014,2015,December,1,Female,20
18,HDFC ERGO General Insurance,2568,26862.0,76137.0,Commercial Insurance Premium,2014,2015,November,9,Female,60
19,TATA AIG General Insurance,1942,42367.0,22212.0,Commercial Insurance Premium,2018,2019,June,10,Male,37
20,The Oriental Insurance Company,3272,20365.0,23660.0,Commercial Insurance Premium,2014,2015,July,2,Female,62
21,TATA AIG General Insurance,1111,45022.0,45160.0,Personal Insurance Premium,2017,2018,August,3,Male,54
22,ICICI Lombard General Insurance,4481,20717.0,46949.0,Personal Insurance Premium,2014,2015,January,7,Male,28
24,ICICI Lombard General Insurance,3894,47417.0,61588.0,Commercial Insurance Premium,2018,2019,April,8,Male,61
25,The New India Assurance,4325,45505.0,72885.0,Commercial Insurance Premium,2014,2015,August,4,Male,67
26,The New India Assurance,3468,49342.0,45682.0,Commercial Insurance Premium,2015,2016,April,2,Female,35
27,HDFC ERGO General Insurance,3656,48743.0,96155.0,Commercial Insurance Premium,2015,2016,December,1,Female,21
28,The New India Assurance,4280,39918.0,47154.0,Commercial Insurance Premium,2016,2017,March,9,Male,42
29,The Oriental Insurance Company,2092,32567.0,70048.0,Commercial Insurance Premium,2017,2018,July,3,Female,75
31,TATA AIG General Insurance,2847,33674.0,76983.0,Commercial Insurance Premium,2018,2019,January,5,Male,21
32,ICICI Lombard General Insurance,1451,48148.0,97422.0,Personal Insurance Premium,2014,2015,October,8,Female,20
